phenocode	lp	chap	rho_GE_male	rho_GE_female	lmort	onset_all	n_genes_male	prevalence_source
AB1_ACTINOMYCOSIS	-2	I Infectious	0.03485	0.003063	0.803122033768517	55.29	1037	registry
AB1_AMOEBIASIS	-1.52287874528034	I Infectious	0.00729	-0.01967	0.44660705143934	35.75	1054	registry
AB1_ANOGENITAL_HERPES_SIMPLEX	-0.552841968657781	I Infectious	-0.003755	0.008822	0.0912108800533841	29.31	1124	registry
AB1_ASPERGILLOSIS	-1.52287874528034	I Infectious	-0.001274	0.008042	1.47155420507071	62.18	1058	registry
AB1_ATYPICAL_CNS_VIRUS	-1.39794000867204	I Infectious	-0.001839	0.01308	1.71199450075919	23.36	1064	registry
AB1_BACTINF_NOS	0.445604203273598	I Infectious	0.01454	0.00449	0.853137916868887	71.08	1120	registry
AB1_BACT_BIR_OTHER_INF_AGENTS	-0.267606240177031	I Infectious	0.0115	0.0231	0.656223826455348	20.92	1171	registry
AB1_BACT_INTEST_OTH	-0.0177287669604316	I Infectious	0.007848	0.01122	0.78754785598143	66.74	1162	registry
AB1_CANDIDIASIS	-0.221848749616356	I Infectious	0.01998	0.0183	0.827022264115973	43.09	1114	registry
AB1_CHLAMYDIA_OTHER	-0.42021640338319	I Infectious	-0.008309	0.001217	-0.0833816089390511	23.92	1117	registry
AB1_DERMATOPHYTOSIS	-0.283996656365201	I Infectious	0.002615	0.002733	0.236257190459593	54.08	1223	registry
AB1_EBV	-0.180456064458131	I Infectious	0.001164	0.01039	0.272314595320659	17.86	1170	registry
AB1_ERYSIPELAS	0.549003262025788	I Infectious	0.04293	-0.002667	0.342880232916543	63.26	1446	registry
AB1_GASTROENTERITIS_NOS	0.803457115648414	I Infectious	0.02432	0.02977	0.410784269585764	32.91	1259	registry
AB1_HELMINTIASES	-0.886056647693163	I Infectious	-0.003204	0.002383	0.463104887554579	33.97	1045	registry
AB1_HEPATITIS_A	-1.69897000433602	I Infectious	-0.02195	-0.0108	0.78754785598143	36.85	1026	registry
AB1_HERPES_SIMPLEX	-0.267606240177031	I Infectious	0.02401	0.001276	0.296022196726782	41.45	1133	registry
AB1_INTESTINAL_INFECTIONS	0.973589623427257	I Infectious	0.02006	0.03461	0.55761378526475	28.35	1234	registry
AB1_LATE_SYPHILIS	-1.39794000867204	I Infectious	0.003692	-0.007397	0.914288729203482	56.97	1034	registry
AB1_LISTERIOSIS	-1.69897000433602	I Infectious	0.005867	-0.01017	1.37054600415175	69.92	1082	registry
AB1_MALARIA	-1.52287874528034	I Infectious	-0.0105	0.02225	0.378778842845659	35.94	1163	registry
AB1_MALARIA_FALCIPARIUM	-1.69897000433602	I Infectious	0.01324	0.02761	0.592221261969985	38.27	1153	registry
AB1_MENINGOCOCCAL	-1.30102999566398	I Infectious	-0.0117	0.008585	0.76964515153267	17.73	1100	registry
AB1_MUMPS	-0.920818753952375	I Infectious	-0.01346	0.001653	0.207014169384326	13.7	1121	registry
AB1_MYCOSES	0.0718820073061254	I Infectious	0.02249	0.01469	0.520577915208669	49.47	1117	registry
AB1_MYSOSIS_NOS	-2	I Infectious	0.03011	0.0003197	1.28826799582133	56.38	1060	registry
AB1_OTHER_BACTERIAL	0.894316062684439	I Infectious	0.0317	-0.002601	0.396760667478018	65.47	1330	registry
AB1_OTHER_BACT_INOTHER	-1.30102999566398	I Infectious	-0.009359	0.01703	0.743602624048438	62.07	1141	registry
AB1_OTHER_CONDITIONS	-1.30102999566398	I Infectious	0.02904	0.02258	1.12946475215087	37.99	1084	registry
AB1_OTHER_INFECTIONS	-0.3767507096021	I Infectious	-0.0091	-0.008803	0.893226792275604	65.84	1050	registry
AB1_OTHER_MYCOBAC	-1.22184874961636	I Infectious	-0.001946	-0.007971	0.696641069814201	67.61	1115	registry
AB1_OTHER_PROTOZOAL	-1.22184874961636	I Infectious	-0.008513	0.007173	0.396424363456015	32.48	1143	registry
AB1_OTHER_SEPSIS	0.369215857410143	I Infectious	0.02186	0.0008924	0.952429778490028	69.43	1274	registry
AB1_OTHER_SUPERF_MYCOSIS	-1.09691001300806	I Infectious	0.01794	0.01431	0.395078015221678	38.43	1188	registry
AB1_OTHER_VIRAL	0.387389826338729	I Infectious	0.0007995	0.008735	0.541742726400712	16.67	1188	registry
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	-0.42021640338319	I Infectious	0.03154	-0.01164	0.445326641533295	21.8	1067	registry
AB1_PNEUMOCYSTOSIS	-1.52287874528034	I Infectious	-0.01243	0.02413	1.93715767191741	65.64	1066	registry
AB1_PROTOZOAL	-1.04575749056068	I Infectious	-0.003164	0.01633	0.971914635622152	46.07	1053	registry
AB1_RESP_TUBERCU_CONF	-0.823908740944319	I Infectious	-0.001841	0.00796	0.671668148882821	65.07	1067	registry
AB1_RESP_TUBERCU_NONCONF	-0.408935392973501	I Infectious	-0.002545	0.007433	0.918887357721421	49.87	1162	registry
AB1_SALMONELLA_OTH	-0.769551078621726	I Infectious	-0.001096	0.01205	0.0788111804242899	35.51	1067	registry
AB1_SCABIES	-0.537602002101044	I Infectious	0.03508	-0.001605	0.436963775167535	20.91	1097	registry
AB1_SEQULAE_INF_NOS	-0.508638306165727	I Infectious	-0.003175	0.01163	0.911077164821268	14.15	1019	registry
AB1_SEQULAE_POLIO	-1.30102999566398	I Infectious	0.01313	-0.01022	0.364990275542446	58.93	1049	registry
AB1_SEQULAE_TUBERCU	-0.698970004336019	I Infectious	-0.009446	-0.002283	0.459005875036194	67.14	1116	registry
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	-0.267606240177031	I Infectious	-0.005072	0.004755	0.423959690744329	38.55	1134	registry
AB1_SEXUAL_TRANSMISSION	0.271841606536499	I Infectious	-0.01072	0.02534	0.207014169384326	26.14	1150	registry
AB1_SEXUAL_TRANSMISSION_NOS	-0.0132282657337552	I Infectious	-0.01967	0.01772	-0.0429075010112766	26.4	1059	registry
AB1_SHIGELLOSIS	-2	I Infectious	-0.005157	-0.003564	0.447885823992117	39.41	1056	registry
AB1_STREPTO_SEPSIS	-0.366531544420413	I Infectious	0.01041	-0.003294	0.898737572626566	60.8	1139	registry
AB1_STREPTSTAPHYCOCC_INOTHER	-1.39794000867204	I Infectious	-0.01008	0.02363	0.904825253764877	38.73	1188	registry
AB1_SYPHILIS	-1.04575749056068	I Infectious	-0.00436	-0.006594	0.709020529716236	46.9	1048	registry
AB1_TUBERCULOSIS	-0.154901959985743	I Infectious	-0.0067	0.006795	0.61707574360865	53.53	1096	registry
AB1_TUBERCU_OTH_ORG	-0.677780705266081	I Infectious	0.01388	-0.02034	0.370873663338545	54.25	1123	registry
AB1_TULARAEMIA	-1.22184874961636	I Infectious	-0.00917	-0.01205	-0.34319478238204	46.83	1075	registry
AB1_VARICELLA	-0.42021640338319	I Infectious	-0.01633	-0.021	0.816028309935761	15.07	1053	registry
AB1_VIRAAL_CONJUNCT	-1	I Infectious	0.01891	-0.01303	0.0256677467485778	32.92	1098	registry
AB1_VIRAL_CNS	-0.431798275933005	I Infectious	-0.008099	0.01307	0.456791735273505	31.76	1037	registry
AB1_VIRAL_ENCEPHALITIS_NOS	-1.04575749056068	I Infectious	-0.00418	-0.006744	0.719789111506366	52.94	1085	registry
AB1_VIRAL_HEMOR_FEVER_NOS	-0.397940008672038	I Infectious	0.0159	0.000911	-0.264616799520785	48.48	1192	registry
AB1_VIRAL_HEPATITIS	-0.337242168318426	I Infectious	0.02084	0.03059	1.41415268924829	32.94	1171	registry
AB1_VIRAL_INOTHER	-1.04575749056068	I Infectious	0.02723	-0.009388	0.227533899615503	33.79	1055	registry
AB1_VIRAL_MENINGITIS	-0.769551078621726	I Infectious	-0.01044	0.03323	-0.122732765382297	25.37	1105	registry
AB1_VIRAL_NOS	0.190331698170292	I Infectious	-0.005392	0.0137	0.355574338494699	10.94	1098	registry
AB1_VIRAL_OTHER_INTEST_INFECTIONS	0.418301291319746	I Infectious	0.002022	0.0004254	0.328584063772207	4.21	1175	registry
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	0.428134794028789	I Infectious	0.005026	0.002758	0.437286720431121	31.4	1025	registry
AB1_VIRAL_SKIN_NOS	-0.397940008672038	I Infectious	-0.0001119	0.02285	0.278389025540188	2.18	1114	registry
AB1_VIRAL_WARTS	-0.337242168318426	I Infectious	0.002142	0.00109	0.171850256926659	29.73	1097	registry
AB1_ZOONOTIC_BACTERIAL	-1.04575749056068	I Infectious	0.0008859	-0.00615	0.104810364352345	47.98	1019	registry
AB1_ZOSTER	-0.0655015487564323	I Infectious	0.02298	0.01123	0.252702353555754	68.79	1114	registry
ABDOM_HERNIA	0.367355921026019	Other (non-ICD endpoint)	0.0328	0.02737	0.0806579030174545	54.58	1452	registry
ABDOM_HERNIA_POSTOP	-0.214670164989233	Other (non-ICD endpoint)	0.02283	0.01151	0.352064331381049	61.66	1337	registry
ABPA	-2	Other (non-ICD endpoint)	-0.008303	-0.004306	1.33539572568635	65.91	1167	registry
ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD	-1.52287874528034	Other (non-ICD endpoint)	0.01701	0.01136	1.01758298335603	71.85	1217	registry
AD_AM_EXMORE	-0.136677139879544	Other (non-ICD endpoint)	0.006866	0.03289	0.783901543828409	83.6	1294	registry
AD_EO_EXMORE	-0.301029995663981	Other (non-ICD endpoint)	0.007311	0.01858	0.889741396640618	80.07	1084	registry
AD_LO_EXMORE	0.376576957056512	Other (non-ICD endpoint)	0.008688	0.02635	0.510725618765657	82.51	1444	registry
AD_U_EXMORE	-0.721246399047171	Other (non-ICD endpoint)	0.007127	0.006599	0.889330550291372	82.15	1131	registry
ALCODELIRIUM	-0.113509274827518	Other (non-ICD endpoint)	0.0219	0.0407	1.6005989637669	51.4	1205	registry
ALCOHOLACUTE10	0.296665190261531	Other (non-ICD endpoint)	0.03147	0.03771	1.26990098444004	47.9	1282	registry
ALCOPANCACU	-0.552841968657781	Other (non-ICD endpoint)	0.0174	0.02053	1.37788409375992	45.74	1206	registry
ALCOPANCCHRON	-0.283996656365201	Other (non-ICD endpoint)	0.01016	0.03401	1.38854183366037	49.32	1245	registry
ALCO_PRESCRIPTION	-0.346787486224656	Other (non-ICD endpoint)	-0.001544	0.006118	0.946043690023503	42.28	1168	registry
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN	-1.04575749056068	Other (non-ICD endpoint)	0.02134	-0.004809	-0.0217344921460062	53.77	1151	registry
ALLERG_ASTHMA	0.27415784926368	Other (non-ICD endpoint)	0.03685	0.01398	0.131028262406404	21.04	1521	registry
ALLERG_RHINITIS	0.372912002970107	Other (non-ICD endpoint)	0.01631	-0.009871	-0.321583624127462	19.13	1457	registry
AMN2	-0.481486060122113	Other (non-ICD endpoint)	-0.03183	-0.01676	-0.592397277459802	65.05	1277	registry
ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE	-1.39794000867204	Other (non-ICD endpoint)	0.01799	-0.005958	0.740507751919783	51.79	1058	registry
ANOSMIA	-1.04575749056068	Other (non-ICD endpoint)	-0.01088	0.001561	-0.27049724769768	56.21	1111	registry
ANTIDEPRESSANTS	1.28623185402855	Other (non-ICD endpoint)	0.01428	0.01764	0.0290732474857072	45.17	1624	registry
APPENDACUT_COMPLIC	0.0755469613925307	Other (non-ICD endpoint)	0.008968	-0.01949	-0.0812100554255433	33.29	1110	registry
APPENDACUT_NOCOMPLIC	0.553883026643874	Other (non-ICD endpoint)	0.009005	0.02576	-0.246540129120606	28.3	1305	registry
ARTHRO_SPEC	-1.09691001300806	Other (non-ICD endpoint)	-0.006088	-0.006351	0.136713823315822	47.23	1072	registry
ARTRHO_POSTDYSENTERIC	-1.52287874528034	Other (non-ICD endpoint)	-0.00171	-0.02801	-0.200281882170947	45.19	1131	registry
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	0.498310553789601	Other (non-ICD endpoint)	0.03036	0.02347	0.490418813988328	25.95	1525	registry
ASTHMA_CHILD_EXMORE	0.409933123331295	Other (non-ICD endpoint)	0.01029	0.01524	0.0634441725565349	4.94	1420	registry
ASTHMA_EOSINOPHIL_SUGG	-0.522878745280338	Other (non-ICD endpoint)	0.0007309	-0.005054	-0.227528149632034	51.33	1342	registry
ASTHMA_INFECTIONS	0.619093330626743	Other (non-ICD endpoint)	0.03395	0.02764	0.380147300123874	34.23	1518	registry
ASTHMA_MIXED_EXMORE	-0.443697499232713	Other (non-ICD endpoint)	0.01293	0.00785	0.407130387427226	40.31	1143	registry
ASTHMA_NAS	0.549003262025788	Other (non-ICD endpoint)	0.02884	0.01783	0.21873384282551	57.71	1536	registry
ASTHMA_OBESITY	0.0413926851582251	Other (non-ICD endpoint)	0.02788	0.01618	0.174793290373163	53.29	1498	registry
ASTHMA_OPPORTUNIST_INFECTIONS	-0.886056647693163	Other (non-ICD endpoint)	0.01535	0.01296	0.402794879552286	63.65	1134	registry
ASTHMA_PNEUMONIA	0.320146286111054	Other (non-ICD endpoint)	0.02854	0.02046	0.695394653100425	62.91	1417	registry
AUD	0.650307523131936	Other (non-ICD endpoint)	0.0395	0.03879	1.19619261700697	44.24	1592	registry
AUD_SWEDISH	0.804820678721162	Other (non-ICD endpoint)	0.04275	0.0491	1.02783210660706	44.42	1573	registry
AUTOIMMUNE_HYPERTHYROIDISM	-0.537602002101044	Other (non-ICD endpoint)	0.01401	-0.016	0.0212721352755398	50.67	1288	registry
BACT_INTEST_INFECTION_NOS	-0.552841968657781	Other (non-ICD endpoint)	0.03622	0.01838	0.333969106403094	56.05	1123	registry
BLEEDING	0.835690571492426	Other (non-ICD endpoint)	0.01659	0.006462	0.332894415273329	66.21	1275	registry
BRONCHITIS	1.182129214053	Other (non-ICD endpoint)	0.02041	0.02729	0.476544689789117	23.42	1269	registry
C3_RECTUM_ADENO	-0.387216143280265	II Neoplasms	-0.02046	-0.009812	0.810485672977179	68.8	1280	registry
CAMPYLOENTERITIS	-1	Other (non-ICD endpoint)	-0.003369	0.009384	0.0459289318883997	46.13	1056	registry
CARDIAC_ARRHYTM	1.06333335895175	Other (non-ICD endpoint)	0.02133	-0.002466	-0.0512932943875506	69.21	1693	registry
CARDIOMYOPATHY_DRUGS_OTHER_EXTER_AGENTS	-2	Other (non-ICD endpoint)	-0.02169	-0.01169	1.40302856011106	58.64	1106	registry
CD2_BENIGN_ADRENAL	-0.744727494896694	II Neoplasms	0.0001185	0.008953	0.290802199788025	63.85	1167	registry
CD2_BENIGN_ANUS_ANAL_CANAL	-1	II Neoplasms	0.004144	-0.008046	0.0737150378222807	65.19	1110	registry
CD2_BENIGN_APPENDIX	-1.52287874528034	II Neoplasms	-0.01977	-0.02567	0.116003675756306	65.07	999	registry
CD2_BENIGN_ASCENDING_COLON	-0.494850021680094	II Neoplasms	0.002598	0.008118	0.0653194661206425	69.17	1217	registry
CD2_BENIGN_BLADDER	-1.39794000867204	II Neoplasms	-0.0189	-0.003222	0.276494726811204	63.13	1117	registry
CD2_BENIGN_BONE_CARTILAGE	-0.42021640338319	II Neoplasms	-0.01271	0.006423	-0.112049503808623	31.98	1074	registry
CD2_BENIGN_BONE_LONG_LOWER	-0.853871964321762	II Neoplasms	-0.01083	0.004018	-0.17197526473981	23.26	1073	registry
CD2_BENIGN_BONE_SCAPULA_LONG_UPPER	-1.39794000867204	II Neoplasms	-0.002334	0.004591	-0.190555361721058	28.48	1081	registry
CD2_BENIGN_BONE_SHORT_UPPER	-1.22184874961636	II Neoplasms	0.01079	0.001742	-0.130678323642116	38.27	1083	registry
CD2_BENIGN_BONE_SKULL_FACE	-1.39794000867204	II Neoplasms	0.01926	0.0009024	-0.144447904365873	44.74	1094	registry
CD2_BENIGN_BRAIN_CNS	-0.619788758288394	II Neoplasms	-0.01294	0.02591	0.278389025540188	52.95	1100	registry
CD2_BENIGN_BRAIN_INFRATENT	-1.69897000433602	II Neoplasms	-0.006257	-0.006239	0.745027802436934	44.15	1061	registry
