phenocode	sex
AB1_ACTINOMYCOSIS	both
AB1_ACTINOMYCOSIS_WIDE	both
AB1_AMOEBIASIS	both
AB1_AMOEBIASIS_WIDE	both
AB1_ANOGENITAL_HERPES_SIMPLEX	both
AB1_ANOGENITAL_HERPES_SIMPLEX_WIDE	both
AB1_ANUG_WIDE	both
AB1_ARTHROPOD_WIDE	both
AB1_ASPERGILLOSIS	both
AB1_ATYPICAL_CNS_VIRUS	both
AB1_BACTINF_NOS	both
AB1_BACTINF_NOS_WIDE	both
AB1_BACT_BIR_OTHER_INF_AGENTS	both
AB1_BACT_BIR_OTHER_INF_AGENTS_WIDE	both
AB1_BACT_INTEST_OTH	both
AB1_BACT_INTEST_OTH_WIDE	both
AB1_CANDIDIASIS	both
AB1_CANDIDIASIS_WIDE	both
AB1_CHLAMYDIA_OTHER	both
AB1_CHLAMYDIA_OTHER_WIDE	both
AB1_CHLAMY_OTHER_WIDE	both
AB1_CHOLERA_WIDE	both
AB1_CHROMOMYCOCIS_WIDE	both
AB1_DENGUE_FEVER	both
AB1_DENGUE_FEVER_WIDE	both
AB1_DERMATOPHYTOSIS	both
AB1_DERMATOPHYTOSIS_WIDE	both
AB1_DIBTHERIA	both
AB1_DIBTHERIA_WIDE	both
AB1_EARLY_SYPHILIS	both
AB1_EARLY_SYPHILIS_WIDE	both
AB1_EBV	both
AB1_ENTEROBIASIS	both
AB1_ENTEROBIASIS_WIDE	both
AB1_ERYSIPELAS	both
AB1_ERYSIPELAS_WIDE	both
AB1_ERYSIPLEOID_WIDE	both
AB1_GASTROENTERITIS_NOS	both
AB1_GASTROENTERITIS_NOS_WIDE	both
AB1_GONOCOCCAL	both
AB1_GONOCOCCAL_WIDE	both
AB1_HELMINTHIASES_NOS_WIDE	both
AB1_HELMINTIASES	both
AB1_HELMINTIASES_WIDE	both
AB1_HEPATITIS_A	both
AB1_HEPATITIS_B	both
AB1_HERPES_SIMPLEX	both
AB1_HERPES_SIMPLEX_WIDE	both
AB1_HIV_INFECT_PARASITES	both
AB1_HIV_INFECT_PARASITES_WIDE	both
AB1_HIV_NOS	both
