canonical,k,category,acat_label,accession,in_acat_female,in_acat_male,fusios_endpoint,finngen_endpoint,rhoGE_female,rhoGE_male,rg_female,rg_male
Abnormal Thrombosis,abnormalthrombosis,Cardiovascular,Abnormal_thrombosis,GCST90476007,TRUE,TRUE,Abnormal_Thrombosis,"",0.016,0.006,0.118,0.116
Acne,acne,Immune / Inflammatory,acne,GCST90245818,TRUE,TRUE,Acne,L12_ACNE,-0.016,0.001,-0.112,0.022
ADHD,adhd,Neuropsychiatric,adhd,"",TRUE,TRUE,ADHD,"",0.073,0.089,0.349,0.406
Alopecia Areata,alopeciaareata,Immune / Inflammatory,Alopecia_Areata,GCST90480473,TRUE,TRUE,Alopecia_Areata,"",-0.004,-0.003,-0.057,-0.261
Alzheimers  Disease,alzheimersdisease,Neuropsychiatric,Alzheimer2022,GCST90027158,TRUE,TRUE,Alzheimers_Disease,G6_ALZHEIMER,0.016,-0.057,-0.003,-0.128
Aortic Valve Stenosis,aorticvalvestenosis,Cardiovascular,Aortic_valve_stenosis,GCST90480118,TRUE,TRUE,Aortic_Valve_Stenosis,"",0.009,0.013,0.449,0.211
Asthma Pneumonia,asthmapneumonia,Immune / Inflammatory,ASTHMA_PNEUMONIA,"",TRUE,TRUE,Asthma_Pneumonia,"",0.037,0.027,0.309,0.35
Atopic Dermatitis Eczema,atopicdermatitiseczema,Immune / Inflammatory,Atopiderm-eczemaGCST90503108k1,GCST90503108,TRUE,TRUE,Atopic_Dermatitis_Eczema,"",-0.006,0.021,0.054,0.148
Atrial Fibrillation,atrialfibrillation,Cardiovascular,Atrialfibrillation,GCST90449054,TRUE,TRUE,Atrial_Fibrillation,I9_AF,0.022,0.03,0.03,0.126
Autism Spectrum Disorder,autismspectrumdisorder,Neuropsychiatric,autism,"",TRUE,TRUE,Autism_Spectrum_Disorder,"",0.005,-0.001,-0.01,-0.209
Benign Prostatic Hyperplasia,benignprostatichyperplasia,Reproductive,Hyperplasiaofprostate,"",FALSE,TRUE,Benign_Prostatic_Hyperplasia,"",-0.014,-0.002,-0.091,0.07
Bipolar Disorder,bipolardisorder,Neuropsychiatric,bip,"",TRUE,TRUE,Bipolar_Disorder,F5_BIPO,0.031,0.023,0.083,0.019
Bladder Cancer,bladdercancer,Cancers,Bladder_Cancer,GCST90475598,TRUE,TRUE,Bladder_Cancer,"",0.013,0.017,0.055,-0.012
Blood Clot Lung,bloodclotlung,Cardiovascular,Blood_Clot_Lung,"",TRUE,TRUE,Blood_Clot_Lung,"",0.027,0.036,0.236,0.155
Borderline Personality Disorder,borderlinepersonalitydisorder,Neuropsychiatric,Borderline_personality_disorder,"",TRUE,TRUE,Borderline_Personality_Disorder,"",0.047,0.04,0.293,0.251
Brain Cancer,braincancer,Cancers,braincancer,GCST90479812,TRUE,TRUE,Brain_Cancer,"",0.02,-0.008,-0.184,-0.018
Breast Cancer,breastcancer,Cancers,EFO_0000305Breastcancer.h.tsv.gz1,GCST004988,TRUE,FALSE,Breast_Cancer,"",-0.013,-0.008,-0.045,-0.025
Cataract,cataract,Ophthalmic,Cataract,GCST90014268,TRUE,TRUE,Cataract,H7_CATARACTSENILE,0.025,0.018,0.06,0.03
Chronic Kidney Disease,chronickidneydisease,Renal / Urological,chronickidneydisease,GCST008064,TRUE,TRUE,Chronic_Kidney_Disease,N14_CHRONKIDNEYDIS,0.009,-0.012,-0.004,0.037
