dk,rhoGE_female,rhoGE_male,rgM,seM,rgF,seF
abnormalthrombosis,0.0163736803103175,0.005546702062421,0.1165,0.044,0.118,0.039
acne,-0.0160694754155075,0.000552023750003501,0.0223,0.054,-0.1117,0.0408
adhd,0.0729014374852603,0.0889384151596007,0.4059,0.0446,0.3486,0.0371
alopeciaareata,-0.00392712426433796,-0.00307909936132926,-0.2606,0.22,-0.057,0.1601
alzheimer2022,0.0155066419098544,-0.0566782601198271,-0.1279,0.0548,-0.003,0.0423
aorticvalvestenosis,0.00933711146353585,0.0134767284541128,0.2108,0.9445,0.4494,1.5213
asthmapneumonia,0.036991771980699,0.0269763751013831,0.3495,0.1393,0.3091,0.1124
atopidermeczemagcst90503108k1,-0.00596191029678289,0.0207291365150652,0.1477,0.0451,0.0544,0.0335
atrialfibrillation,0.021846840941192,0.0299392526892887,0.1262,0.0384,0.0305,0.027
autism,0.00549696068603078,-0.00113803668093405,-0.2089,0.058,-0.0101,0.0436
bip,0.0309147216975236,0.0230867748065934,0.0193,0.0372,0.0831,0.0282
bladdercancer,0.0127050036698233,0.0168731787067594,-0.012,0.0629,0.0547,0.0558
bloodclotlung,0.0267997246514753,0.0355147647101269,0.1554,0.0959,0.2363,0.0756
borderlinepersonalitydisorder,0.0468912086616765,0.0398855272343246,0.2507,0.0487,0.2926,0.038
braincancer,0.0199428191630284,-0.00846901962228057,-0.0178,0.132,-0.1838,0.1042
cad,0.0414483743749626,0.0387769081634816,0.0914,0.0377,0.1218,0.0356
cataract,0.0247367383555906,0.0183531760343475,0.0299,0.0466,0.0604,0.0356
chronickidneydisease,0.0091227027314798,-0.011679037720951,0.037,0.0583,-0.0043,0.0429
chronicobstructivepulmonarydisease,-0.0133955544477234,0.0144341372563651,0.0199,0.0298,-0.0292,0.0244
crohnsdisease,-0.0169108626137873,-0.00450908667956134,0.0183,0.0533,-0.0237,0.0438
deepveinthrombosis,0.010089997697413,-0.00034085231636928,0.0438,0.0472,0.0656,0.0393
efo0000305breastcancerhtsvgz1,-0.0134844806075222,-0.00796279762707885,-0.0247,0.0347,-0.0446,0.0254
efo0006792lewybodydementia,-0.00379108189375489,-0.0119071515664542,-0.0936,0.1436,-0.0288,0.1143
endometrialcancerwu,-0.00960506673605319,-0.0134786877689227,-0.1287,0.065,-0.1191,0.0542
endometriosis,0.00382991241598746,0.0138532631301027,0.1127,0.0541,0.0317,0.0384
esophagealcancerwu,0.00874232281430525,0.0145580635492145,0.0863,0.0686,-0.0047,0.0603
frontotemporaldementiagcst90558314,0.0097948386049947,0.00545367075805053,-0.0592,0.1746,0.0328,0.1439
gallstones,0.033548600655563,0.0129498142478394,0.1965,0.0516,0.1299,0.038
gastriccancer,0.00342723912078198,0.0178771049198424,0.2662,0.419,0.2036,0.3031
gcst009962highmyopia1,-0.0259131318989554,-0.0413371396744554,-0.2749,0.063,-0.1606,0.0444
gcst90011770openangleglaucoma,0.00153321364921915,0.0289285304678039,0.0437,0.0409,-0.0201,0.0263
gcst90134288hosteoarthritis,0.0593997730983798,0.0805455614875192,0.3864,0.0421,0.2439,0.0311
gcst90274714prostatecancer,-0.00561077952677998,0.00100708383922093,-0.0265,0.0315,-0.029,0.0225
gcst90455657heartfailure,0.0512749110487873,0.0690295403120481,0.1844,0.0316,0.1743,0.0261
gestationaldiabetes,0.0399182853353768,0.0267161683700956,0.3031,0.0659,0.2486,0.0558
gout,0.0239861086090976,-0.0113200570942341,0.0828,0.0389,0.0743,0.0296
gravesdisease,-0.000580650199126423,-0.00380968311095271,-0.0295,0.0428,-0.0041,0.0389
hayfever,0.0130539549447176,-0.00715910089801288,-0.0816,0.048,0.0076,0.043
headneckcancer,0.00995917263990365,0.0106319907836949,0.3197,0.1416,0.2098,0.1058
hearingloss,0.0379624847888061,0.00740421621183552,0.08,0.0434,0.0579,0.036
hodgkinslymphoma,-0.0304505380812154,0.0234528384159753,-0.0889,0.151,-0.163,0.1257
hypercholesterolemia,0.018433514940107,0.00332050463845449,0.1113,0.0449,0.074,0.0345
hyperplasiaofprostate,-0.0136091153986598,-0.00157324652198578,0.0697,0.095,-0.0909,0.0778
hypertension,0.00814129321375106,-0.000657411152866824,0.0616,0.0314,0.0099,0.0242
hypertrophiccardiomyopathygcst90435256tsv,-0.00278652797398353,0.0216559503950359,0.0988,0.0578,0.0102,0.0426
hypothyroidism1,0.0318304587850601,0.00877113138054649,0.0028,0.0363,0.095,0.0298
ibd,-0.0207081349740357,-0.025282091538536,-0.0168,0.0496,-0.0393,0.0421
idiopathicpulmonaryfibrosis,-0.00289397731278918,0.00501039475073886,0.1432,0.0732,0.0461,0.0716
insomnia,0.0319737246070236,9.0606479694448e-05,0.0234,0.0463,0.0965,0.0342
irondeficiencyanemia,0.00479849124166461,0.0124337353628544,0.088,0.0586,0.1049,0.0434
kidneystones,0.017033624962491,0.00990834850038214,0.0818,0.0374,0.023,0.035
leukemia,-0.0209929098981929,-0.00655426642552961,0.0169,0.0853,-0.0703,0.0739
livercancer,0.0244815630363384,0.00698273211943056,0.1448,0.0917,0.2262,0.0742
lungcarcinoma,0.020608002020736,0.0263528247997359,0.2151,0.0557,0.0958,0.0483
maculardegeneration,-0.00516345955355187,0.0181830078760883,0.0679,0.0505,0.0483,0.0342
majordepressivedisorder,0.0454459946173351,0.00689587829650926,0.0436,0.0217,0.0405,0.0173
melanoma,0.00863920960465979,-0.0148359589518773,0.0261,0.0819,-0.0469,0.0514
multiplemyeloma,-0.0124066918105038,-0.00705390941389205,0.1818,0.0788,-0.1404,0.0669
myastheniagravis,0.0164520819086679,0.011873904120409,0.0631,0.0658,0.0554,0.0545
myocardialinfarction,0.0421271274376759,0.0458018602541654,0.2167,0.0372,0.1441,0.0323
nephroticsyndrome,0.0171954154486918,-0.00214842094633926,0.0577,0.1173,0.1791,0.083
nonhodgkinslymphoma,-0.013562279000135,-0.00414998751779939,0.0189,0.1176,-0.1539,0.1048
obesity,0.0160123549315667,0.00614971757400086,0.2667,0.0989,0.2449,0.0879
obstructivesleepapnea,0.0201262484861682,0.0557120543232455,0.2443,0.0395,0.1703,0.0321
osteoporosis,-0.00711727259144938,-0.0133723375659182,-0.0961,0.0657,0.0634,0.0528
ovariancancerwu,-0.0161657444934111,0.00340433184127253,-0.1359,0.0848,-0.0504,0.0629
pancreaticcancer,-0.0191004181628016,0.00288798939982664,0.1413,0.2924,-0.4246,0.3954
panic,-0.00466863266336703,0.0162295896650439,-0.0249,0.0884,0.0559,0.0659
parkinson1,-0.0105003202760541,-0.0305920971963051,-0.0482,0.0522,-0.0916,0.0426
polycysticovarysyndrome,-0.000914052241650678,-0.0141759863414632,0.0494,0.0795,-0.0779,0.0501
preeclampsia,-0.00777765343174964,-0.00086657229282293,-0.0296,0.0629,-0.0499,0.046
primarybiliarycirrhosis,0.00558812532520664,-0.00614053163884821,-0.0365,0.0549,0.0287,0.0505
psoriasisgcst90472771,0.0117395614693593,-0.0145872022512417,0.068,0.0371,0.0503,0.0288
ptsd,0.0198598014819281,0.0183477965272,0.1268,0.0826,0.2186,0.0599
raynauddisease,-0.0181223400493146,0.0027260319325233,0.025,0.0548,-0.0328,0.045
renalcancerwu,0.00104339422722338,0.032253453579351,0.0889,0.0499,0.0695,0.0351
restlesslegssyndrome,0.00837072137475776,0.0308128339191275,0.1468,0.0516,0.0697,0.0424
rheumatoidarthritish,-0.00884090055546813,0.0237927103002794,0.0523,0.0389,0.0512,0.0422
rosacea,-0.0168791022863815,-0.0137288900076331,-0.0336,0.0649,-0.0711,0.0468
sarcoidosisgcst90503482htsv,0.00923919557962907,0.0044370218105447,-0.0293,0.0472,0.0185,0.0419
scz,0.0218108665857101,-0.00260417918824771,-0.0779,0.0342,0.0606,0.0259
sepsis,0.00782702018966757,0.00971183450000757,0.1263,0.1038,0.1806,0.0868
skincancer,-0.015443691875364,0.00393861773259594,0.0619,0.0412,-0.0103,0.0322
sle,-0.00649875056169744,0.0288141046513638,0.1005,0.0775,0.0269,0.0511
stroke,0.0263959113019104,0.0290915432709826,0.2392,0.1104,0.1783,0.0869
t1d,0.00874508064752479,-0.0132407611706269,-0.0613,0.0426,0.0358,0.0431
t2d,0.0151180508533068,0.0275531392525438,0.1187,0.0584,0.0361,0.0493
testiculardisease,0.0381159895178135,0.0239268266511383,0.2312,0.0562,0.1967,0.0412
thyroidcancer,0.00362138266769493,-0.000169745101789108,0.0774,0.0532,-0.0275,0.038
tstourettesyndrome,0.00192145899448261,0.0185959317118912,-0.0055,0.0648,0.1012,0.0522
tsvcolorectalcancer1,0.00262577309585505,0.013894684590315,-0.0518,0.0847,-0.0083,0.0712
tuberculosis,0.00777444564425906,-0.00235005354128097,0.0383,0.1698,0.1526,0.18
ulcerativecolitis1,-0.00205315021655414,-0.00627544032198988,0.0588,0.0729,-0.0353,0.0605
uterinefibroids,-0.0243565034349747,-0.00600337460091106,0.0054,0.039,-0.0571,0.0339
uveitis,-0.0284014169620985,0.00458925961171503,0.0331,0.1225,-0.1531,0.1056
varicoseveins,0.0119302904418936,0.00965325729643779,0.0799,0.0512,0.0283,0.034
vitaminddeficiency,0.012402866287561,-0.00162196483184952,0.0452,0.142,0.1021,0.1184
