phenocode	rg_father	se_father	p_father	rg_mother	se_mother	p_mother	h2	h2_se
AB1_ACTINOMYCOSIS_WIDE	-0.0796	0.3528	0.8216	-0.1716	0.3273	0.6	0.0385	0.0038
AB1_ACTINOMYCOSIS	NA	NA	NA	NA	NA	NA	0.0385	0.0038
AB1_AMOEBIASIS_WIDE	NA	NA	NA	NA	NA	NA	0.0385	0.0038
AB1_AMOEBIASIS	NA	NA	NA	NA	NA	NA	NA	NA
AB1_ANOGENITAL_HERPES_SIMPLEX_WIDE	-0.0025	0.0833	0.9757	0.1588	0.0847	0.0607	0.0385	0.0038
AB1_ANOGENITAL_HERPES_SIMPLEX	-0.0296	0.0896	0.7413	0.1563	0.0815	0.055	0.0385	0.0038
AB1_ANUG_WIDE	0.1116	0.1271	0.3799	-0.0339	0.0968	0.7267	0.0385	0.0038
AB1_ARTHROPOD_WIDE	0.233	0.1236	0.0595	0.2785	0.1007	0.0057	0.0385	0.0038
AB1_ASPERGILLOSIS	0.0107	0.1346	0.9365	-0.0128	0.1009	0.8993	0.0385	0.0038
AB1_ATYPICAL_CNS_VIRUS	NA	NA	NA	NA	NA	NA	0.0385	0.0038
AB1_BACTINF_NOS_WIDE	0.0843	0.0944	0.3721	0.0736	0.0806	0.3611	0.0385	0.0038
AB1_BACTINF_NOS	0.0486	0.0995	0.625	0.0737	0.0868	0.396	0.0385	0.0038
AB1_BACT_BIR_OTHER_INF_AGENTS_WIDE	NA	NA	NA	NA	NA	NA	0.0385	0.0038
AB1_BACT_BIR_OTHER_INF_AGENTS	NA	NA	NA	NA	NA	NA	0.0385	0.0038
AB1_BACT_INTEST_OTH_WIDE	0.3386	0.1454	0.0199	0.1042	0.107	0.3302	0.0385	0.0038
AB1_BACT_INTEST_OTH	0.3256	0.1264	0.01	0.0698	0.1002	0.4863	0.0385	0.0038
AB1_CANDIDIASIS_WIDE	0.364	0.1039	0.0005	0.2743	0.0848	0.0012	0.0385	0.0038
AB1_CANDIDIASIS	0.367	0.1817	0.0434	0.2696	0.1278	0.035	0.0385	0.0038
AB1_CHLAMYDIA_OTHER_WIDE	0.3063	0.1148	0.0076	0.2161	0.079	0.0063	0.0385	0.0038
AB1_CHLAMYDIA_OTHER	0.3884	0.1329	0.0035	0.2478	0.099	0.0123	0.0385	0.0038
AB1_CHLAMY_OTHER_WIDE	NA	NA	NA	NA	NA	NA	0.0385	0.0038
AB1_CHOLERA_WIDE	-0.9896	5.5061	0.8574	0.1138	0.7781	0.8838	0.0385	0.0038
AB1_CHROMOMYCOCIS_WIDE	0.3424	0.8557	0.6891	0.2129	0.4867	0.6617	0.0385	0.0038
AB1_DENGUE_FEVER_WIDE	0.3155	0.3019	0.2961	-0.053	0.1774	0.7652	0.0385	0.0038
AB1_DENGUE_FEVER	0.2779	0.172	0.1063	-0.087	0.1276	0.4954	0.0385	0.0038
AB1_DERMATOPHYTOSIS_WIDE	0.1552	0.0641	0.0155	0.0743	0.0475	0.1173	0.0385	0.0038
AB1_DERMATOPHYTOSIS	0.0793	0.1315	0.5462	0.0881	0.1005	0.3806	0.0385	0.0038
AB1_DIBTHERIA_WIDE	NA	NA	NA	NA	NA	NA	NA	NA
AB1_DIBTHERIA	0.4764	0.461	0.3014	0.0331	0.2184	0.8794	0.0385	0.0038
AB1_EARLY_SYPHILIS_WIDE	-0.0081	0.1799	0.9642	0.0474	0.139	0.733	0.0385	0.0038
AB1_EARLY_SYPHILIS	0.0712	0.2469	0.7729	0.1399	0.219	0.523	0.0385	0.0038
AB1_EBV	-0.0037	0.1174	0.9752	-0.0277	0.0914	0.7616	0.0385	0.0038
