phenocode	pheno	cat	class	rho_father	rho_mother	rg_father	rg_mother	num_cases	d_rho	d_rg	cf	prev_reg	prev	prev_source
AB1_ACTINOMYCOSIS	Actinomycosis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0348460620617735	0.0030630060155576			132	0.0317830560462159		0.0304225274206076	0.01	0.01	registry
AB1_ACTINOMYCOSIS_WIDE	Actinomycosis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0351559450109832	-0.00238045433914299	-0.0796	-0.1716	150	0.0375363993501262	0.092	0.0345706555057226		0.022012094188314	case-count proxy
AB1_AMOEBIASIS	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.00728965488318528	-0.0196744593890037			201	0.026964114272189		0.0454743929394783	0.03	0.03	registry
AB1_AMOEBIASIS_WIDE	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.00943692841638558	-0.0169581133179681			297	0.0263950417343537		0.0671884897294363		0.0410497925882036	case-count proxy
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.00375534086427123	0.00882201180350156	-0.0296	0.1563	2617	-0.0125773526677728	-0.1859	0.53676656089952	0.28	0.28	registry
AB1_ANOGENITAL_HERPES_SIMPLEX_WIDE	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.00452987187039954	0.0181169257599298	-0.0025	0.1588	4806	-0.0226467976303293	-0.1613	0.985395398617658		0.509485904089431	case-count proxy
AB1_ANUG_WIDE	Acute necrotizing ulcerative gingivitis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.00525105201845759	-0.0103225632672383	0.1116	-0.0339	50	0.00507151124878071	0.1455	0.0099962813833254		0.00687522001050765	case-count proxy
AB1_ARTHROPOD_WIDE	Arthropod-borne viral fevers and viral haemorrhagic fevers	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0361152522080569	0.00111929777909123	0.233	0.2785	7739	0.0349959544289657	-0.0455	1.54722443251111		0.777849867145404	case-count proxy
AB1_ASPERGILLOSIS	Aspergillosis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.0012740127404781	0.00804202301518931	0.0107	-0.0128	295	-0.00931603575566741	0.0235	0.0604248171893243	0.03	0.03	registry
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.00183931659131796	0.0130799872126912			337	-0.0149193038040092		0.0677273942236773	0.04	0.04	registry
AB1_BACTINF_NOS	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0145400124097664	0.00448977279523558	0.0486	0.0737	27957	0.0100502396145308	-0.0251	6.05504706376675	2.79	2.79	registry
AB1_BACTINF_NOS_WIDE	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0137129316965943	-8.16140421036416e-05	0.0843	0.0736	30657	0.0137945457386979	0.0107	6.63059064748668		3.0451707975093	case-count proxy
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.011495407742317	0.0230966390596948			3591	-0.0116012313173778		0.717932928950431	0.54	0.54	registry
AB1_BACT_BIR_OTHER_INF_AGENTS_WIDE	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0112592970337786	0.0245506347993211			3857	-0.0132913377655425		0.771113145909722		0.404817219773488	case-count proxy
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.00784785899306641	0.01122227884187	0.3256	0.0698	8262	-0.00337441984880359	0.2558	1.83572260191793	0.96	0.96	registry
AB1_BACT_INTEST_OTH_WIDE	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0127057072918796	0.0152266323314147	0.3386	0.1042	10740	-0.0025209250395351	0.2344	2.38375848131946		1.1666412606192	case-count proxy
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0199848274135209	0.0183049454529097	0.367	0.2696	5784	0.0016798819606112	0.0974	1.17156405016012	0.6	0.6	registry
AB1_CANDIDIASIS_WIDE	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0319314627263263	0.0123127441639433	0.364	0.2743	13459	0.019618718562383	0.0897	2.72530489842119		1.32274333836818	case-count proxy
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.00830946953006936	0.00121712934143664	0.3884	0.2478	2821	-0.009526598871506	0.1406	0.578366509278262	0.38	0.38	registry
AB1_CHLAMYDIA_OTHER_WIDE	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.00868811135004679	-0.00362715378902569	0.3063	0.2161	4649	0.0123152651390725	0.0902	0.952775221695977		0.493651924204693	case-count proxy
AB1_CHLAMY_OTHER_WIDE	Diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0106534883915677	0.00308207859707675			544	0.00757140979449095		0.1087678047298		0.0644930488723462	case-count proxy
AB1_CHOLERA_WIDE	Cholera	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.0171869980186571	-0.00502791942063086	-0.9896	0.1138	71	-0.0121590785980262	-1.1034	0.0160686925289633		0.0107303907671551	case-count proxy
AB1_CHROMOMYCOCIS_WIDE	Chromomycosis and phaeomycotic abscess	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.00113862877808238	0.00181363295231474	0.3424	0.2129	136	-0.00067500417423236	0.1295	0.0278709085096442		0.0179853976930663	case-count proxy
AB1_DENGUE_FEVER	Dengue fever [classical dengue]	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0186953135041622	-0.0107138621176819	0.2779	-0.087	64	0.0294091756218441	0.3649	0.0128931140698122	0.01	0.01	registry
AB1_DENGUE_FEVER_WIDE	Dengue fever [classical dengue]	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0275366945249325	-0.00861935933437305	0.3155	-0.053	76	0.0361560538593056	0.3685	0.015310572957902		0.0102548911655317	case-count proxy
AB1_DERMATOPHYTOSIS	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.00261493109405398	0.00273290920515266	0.0793	0.0881	5443	-0.00011797811109868	-0.0088	1.10325564802841	0.52	0.52	registry
AB1_DERMATOPHYTOSIS_WIDE	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0134267917927383	-0.00618211679576907	0.1552	0.0743	32703	0.0196089085885074	0.0809	6.62146128521505		3.04123847881153	case-count proxy
AB1_DIBTHERIA	Diphtheria	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0203208309979338	0.000725360456283527	0.4764	0.0331	55	0.0195954705416503	0.4433	0.0126783030437148	0.01	0.01	registry
AB1_DIBTHERIA_WIDE	Diphtheria	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0182806227880663	-0.0053514414099259			63	0.0236320641979922		0.0145223863738523		0.00975897741057712	case-count proxy
AB1_EARLY_SYPHILIS	Early syphilis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.0246989102719654	-0.00201048686046	0.0712	0.1399	406	-0.0226884234115054	-0.0687	0.083653041797675	0.04	0.04	registry
AB1_EARLY_SYPHILIS_WIDE	Early syphilis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.0246342680449872	-0.00479105588359531	-0.0081	0.0474	474	-0.0198432121613919	-0.0555	0.0976594692599308		0.0582954921467705	case-count proxy
AB1_EBV	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.00116406239994736	0.0103946867305701	-0.0037	-0.0277	3935	-0.00923062433062274	0.024	0.804086845466156	0.66	0.66	registry
AB1_ENTEROBIASIS	Enterobiasis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.00296315722162441	0.00106797031814467			149	0.00189518690347974		0.029817473039201	0.03	0.03	registry
AB1_ENTEROBIASIS_WIDE	Enterobiasis	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.00121273729950273	0.00990019356057498	0.24	0.0888	768	-0.00868745626107225	0.1512	0.153689447258304		0.0891916387256058	case-count proxy
AB1_ERYSIPELAS	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0429346283503155	-0.00266684447631265	0.1962	0.0427	30206	0.0456014728266282	0.1535	6.51043294400631	3.54	3.54	registry
AB1_ERYSIPELAS_WIDE	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0460325245332642	-0.0153926955109663	0.1929	0.0413	41584	0.0614252200442305	0.1516	8.93330526279608		4.02740029903688	case-count proxy
AB1_ERYSIPLEOID_WIDE	Erysipeloid	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.0119852596405481	0.014580009526578	0.0874	0.2771	132	-0.0265652691671261	-0.1897	0.0264238342985373		0.0171081880597451	case-count proxy
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0243172479852822	0.0297724172012182	0.2185	0.2484	41774	-0.005455169215936	-0.0299	8.63848794408371	6.36	6.36	registry
AB1_GASTROENTERITIS_NOS_WIDE	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0359109139841566	0.0402606577099919	0.2472	0.236	68229	-0.0043497437258353	0.0112	14.0610219790411		6.16288875588994	case-count proxy
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0267638541833452	0.016081280268363	0.169	0.1156	1212	0.0106825739149822	0.0534	0.249308846761453	0.14	0.14	registry
AB1_GONOCOCCAL_WIDE	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0222540400746541	0.0149230617138938	0.1919	0.126	1306	0.0073309783607603	0.0659	0.268637497763068		0.150581736521454	case-count proxy
AB1_HELMINTHIASES_NOS_WIDE	Other helminthiases	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.00690348056371077	0.000634642212022095			82	-0.00753812277573287		0.0164128676882676		0.0109457967354813	case-count proxy
AB1_HELMINTIASES	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.00320426886867424	0.00238323420303664	0.2206	0.7467	628	-0.00558750307171088	-0.5261	0.125553294174567	0.13	0.13	registry
AB1_HELMINTIASES_WIDE	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.00274167954958312	0.012022684992595	0.2359	0.3399	1510	-0.00928100544301188	-0.104	0.301887697776427		0.167996816604122	case-count proxy
AB1_HEPATITIS_A	Acute hepatitis A	I Certain infectious and parasitic diseases (AB1_)	sex_shared	-0.0219512235879539	-0.0108035364168461			148	-0.0111476871711078		0.0297503583109033	0.02	0.02	registry
AB1_HEPATITIS_B	Acute hepatitis B	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0168230127925373	0.0174143699181435			151	-0.0005913571256062		0.0303532230700577	0.02	0.02	registry
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0240148452960171	0.00127646971868869	0.284	0.223	4963	0.0227383755773284	0.061	1.0257289950832	0.54	0.54	registry
AB1_HERPES_SIMPLEX_WIDE	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0339283329491577	0.00978672967401553	0.3551	0.1956	11722	0.0241416032751422	0.1595	2.42062049824886		1.18355255215379	case-count proxy
AB1_HIV_INFECT_PARASITES	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	sex_shared	0.0064135801353681	0.0241286511609501	0.1527	0.2477	80	-0.017715071025582	-0.095	0.016010599016549	0.01	0.01	registry
